testkevin0	Unassigned;Other
testkevin284	k__Bacteria;p__Chloroflexi;c__SAR202;o__;f__
testkevin285	k__Bacteria;p__Cyanobacteria;Other;Other;Other
testkevin286	k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12;f__
testkevin287	k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__
testkevin288	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta;f__
testkevin289	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__
testkevin290	k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales;Other
testkevin291	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales;f__Pseudanabaenaceae
testkevin292	k__Bacteria;p__Firmicutes;Other;Other;Other
testkevin293	k__Bacteria;p__Firmicutes;c__Bacilli;Other;Other
testkevin294	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;Other
testkevin295	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae
testkevin296	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae
testkevin297	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
testkevin298	k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae
testkevin299	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other
testkevin300	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__
testkevin301	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae
testkevin302	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae
testkevin303	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae
testkevin304	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae
testkevin305	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae
testkevin306	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae
testkevin307	k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae
testkevin308	k__Bacteria;p__Firmicutes;c__Clostridia;Other;Other
testkevin309	k__Bacteria;p__Firmicutes;c__Clostridia;o__;f__
testkevin310	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other
testkevin311	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__
testkevin312	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae
testkevin313	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae
testkevin314	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae
testkevin315	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__EtOH8
testkevin316	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae
testkevin317	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
